TrtID,TrtDesc,PrimingWP,PrimingTemp,PrimingDuration,GermWP,GermTemp,CumTime,CumFraction
25,Primed,-0.91,15,148,0,20,166.1,1
26,Primed,-1.42,10,24,0,20,0,0
26,Primed,-1.42,10,24,0,20,23.8,0
26,Primed,-1.42,10,24,0,20,46,0
26,Primed,-1.42,10,24,0,20,69.7,0
26,Primed,-1.42,10,24,0,20,94.5,0.01
26,Primed,-1.42,10,24,0,20,118.8,0.88
26,Primed,-1.42,10,24,0,20,166.1,0.98
27,Primed,-1.42,10,72,0,20,0,0
27,Primed,-1.42,10,72,0,20,23.8,0
27,Primed,-1.42,10,72,0,20,46,0
27,Primed,-1.42,10,72,0,20,69.7,0
27,Primed,-1.42,10,72,0,20,94.5,0.14
27,Primed,-1.42,10,72,0,20,118.8,0.97
27,Primed,-1.42,10,72,0,20,166.1,0.99
28,Primed,-1.42,10,120,0,20,0,0
28,Primed,-1.42,10,120,0,20,23.8,0
28,Primed,-1.42,10,120,0,20,46,0
28,Primed,-1.42,10,120,0,20,69.7,0
28,Primed,-1.42,10,120,0,20,94.5,0.17
28,Primed,-1.42,10,120,0,20,118.8,0.99
28,Primed,-1.42,10,120,0,20,166.1,1
29,Primed,-1.42,10,148,0,20,0,0
29,Primed,-1.42,10,148,0,20,23.8,0
29,Primed,-1.42,10,148,0,20,46,0
29,Primed,-1.42,10,148,0,20,69.7,0
29,Primed,-1.42,10,148,0,20,94.5,0.22
29,Primed,-1.42,10,148,0,20,118.8,0.95
29,Primed,-1.42,10,148,0,20,166.1,1
30,Primed,-1.42,12.5,24,0,20,0,0
30,Primed,-1.42,12.5,24,0,20,23.8,0
30,Primed,-1.42,12.5,24,0,20,46,0
30,Primed,-1.42,12.5,24,0,20,69.7,0
30,Primed,-1.42,12.5,24,0,20,94.5,0.24
30,Primed,-1.42,12.5,24,0,20,118.8,0.99
30,Primed,-1.42,12.5,24,0,20,166.1,0.99
31,Primed,-1.42,12.5,72,0,20,0,0
31,Primed,-1.42,12.5,72,0,20,23.8,0
31,Primed,-1.42,12.5,72,0,20,46,0
31,Primed,-1.42,12.5,72,0,20,69.7,0
31,Primed,-1.42,12.5,72,0,20,94.5,0.51
31,Primed,-1.42,12.5,72,0,20,118.8,0.93
31,Primed,-1.42,12.5,72,0,20,166.1,0.98
32,Primed,-1.42,12.5,120,0,20,0,0
32,Primed,-1.42,12.5,120,0,20,23.8,0
32,Primed,-1.42,12.5,120,0,20,46,0
32,Primed,-1.42,12.5,120,0,20,69.7,0
32,Primed,-1.42,12.5,120,0,20,94.5,0.52
32,Primed,-1.42,12.5,120,0,20,118.8,0.99
32,Primed,-1.42,12.5,120,0,20,166.1,1
33,Primed,-1.42,12.5,148,0,20,0,0
33,Primed,-1.42,12.5,148,0,20,23.8,0
33,Primed,-1.42,12.5,148,0,20,46,0
33,Primed,-1.42,12.5,148,0,20,69.7,0.01
33,Primed,-1.42,12.5,148,0,20,94.5,0.71
33,Primed,-1.42,12.5,148,0,20,118.8,0.98
33,Primed,-1.42,12.5,148,0,20,166.1,0.98
34,Primed,-1.42,15,24,0,20,0,0
34,Primed,-1.42,15,24,0,20,23.8,0
34,Primed,-1.42,15,24,0,20,46,0
34,Primed,-1.42,15,24,0,20,69.7,0.01
34,Primed,-1.42,15,24,0,20,94.5,0.76
34,Primed,-1.42,15,24,0,20,118.8,0.99
34,Primed,-1.42,15,24,0,20,166.1,1
35,Primed,-1.42,15,72,0,20,0,0
35,Primed,-1.42,15,72,0,20,23.8,0
35,Primed,-1.42,15,72,0,20,46,0
35,Primed,-1.42,15,72,0,20,69.7,0.04
35,Primed,-1.42,15,72,0,20,94.5,0.89
35,Primed,-1.42,15,72,0,20,118.8,0.98
35,Primed,-1.42,15,72,0,20,166.1,1
36,Primed,-1.42,15,120,0,20,0,0
36,Primed,-1.42,15,120,0,20,23.8,0
36,Primed,-1.42,15,120,0,20,46,0
36,Primed,-1.42,15,120,0,20,69.7,0.17
36,Primed,-1.42,15,120,0,20,94.5,0.96
36,Primed,-1.42,15,120,0,20,118.8,1
36,Primed,-1.42,15,120,0,20,166.1,1
37,Primed,-1.42,15,148,0,20,0,0
37,Primed,-1.42,15,148,0,20,23.8,0
37,Primed,-1.42,15,148,0,20,46,0
37,Primed,-1.42,15,148,0,20,69.7,0.35
37,Primed,-1.42,15,148,0,20,94.5,0.97
37,Primed,-1.42,15,148,0,20,118.8,0.99
37,Primed,-1.42,15,148,0,20,166.1,0.99
